id,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,province
AVweO2A2IN2L1WUf3IVT,45490 Ford Rd,"Indian Restaurant,Pizza Place",Accommodation & Food Services,Canton,US,us/mi/canton/45490fordrd/-1610211871,42.322403,-83.488782,,7.99,7.99,,Achari Veg Pizza,Curry on Crust,48187,0,25,MI
AVwcsjkFIN2L1WUfn4dB,1253 Jacklin Rd,"Pizza,Restaurant,Karaoke,Pizza Place,Restaurants",Accommodation & Food Services,Milpitas,US,us/ca/milpitas/1253jacklinrd/-66718653,37.4478,-121.8878,,9.2,9.2,,Cheese Pizza,Pizza Box,95035,0,25,CA
AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Poughkeepsie,US,us/ny/poughkeepsie/786mainst/1898246848,41.696049,-73.901679,,4.99,4.99,Pepperoni sausage mozzarella meatballs and bacon,All Meat Stuffed Pizza Slice,Tonys Pizza Pit,12603,0,25,NY
AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Poughkeepsie,US,us/ny/poughkeepsie/786mainst/1898246848,41.696049,-73.901679,,18.99,18.99,Served with ham pineapple and extra cheese,Hawaiian Pizza,Tonys Pizza Pit,12603,0,25,NY
AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Poughkeepsie,US,us/ny/poughkeepsie/786mainst/1898246848,41.696049,-73.901679,,18.99,18.99,Provolone mozzarella fontina and Parmigiana,4Cheese Pizza,Tonys Pizza Pit,12603,0,25,NY
AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Poughkeepsie,US,us/ny/poughkeepsie/786mainst/1898246848,41.696049,-73.901679,,10.99,10.99,Gluten Free,Gluten Free Cheese Pizza,Tonys Pizza Pit,12603,0,25,NY
AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Poughkeepsie,US,us/ny/poughkeepsie/786mainst/1898246848,41.696049,-73.901679,,19.99,19.99,Broccoli spinach mushrooms tomatoes ricotta and mozzarella,Vegetable Stuffed Pizza Pie,Tonys Pizza Pit,12603,0,25,NY
AVwd3vBcIN2L1WUfz8Kd,786 Main St,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Poughkeepsie,US,us/ny/poughkeepsie/786mainst/1898246848,41.696049,-73.901679,,1.99,1.99,,Cheese Pizza Slice,Tonys Pizza Pit,12603,0,25,NY
AVwcoEiNIN2L1WUfnF36,2221 Browning Dr,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Arlington,US,us/tx/arlington/2221browningdr/1023837469,32.707464,-97.085036,,6.95,6.95,,Cheese Pizza,Italy Pizza Pasta Subs,76010,25,40,TX
AVwcoEiNIN2L1WUfnF36,2221 Browning Dr,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Arlington,US,us/tx/arlington/2221browningdr/1023837469,32.707464,-97.085036,,12.95,12.95,,Supreme Pizza,Italy Pizza Pasta Subs,76010,25,40,TX
