,Title,Developer(s),Publisher(s),Genre,Release date,ref
120,Limbo,Playdead,Playdead,"puzzle, platform",11 Feb 2015,
121,Lineage 2 Revolution,Netmarble Games,Netmarble Games,massively multiplayer online,15 Nov 2017,
122,Madden NFL 12,EA Tiburon,EA Sports,sport,NA: 30 Aug 2011,
123,Madden NFL 25,EA Tiburon,EA Sports,sport,23 Dec 2013,
124,Madden NFL Mobile 15,EA Sports,EA Sports,sport,26 Aug 2014,
125,Madden NFL Mobile 16,EA Sports,EA Sports,sport,21 Aug 2015,
126,Madden NFL Mobile 17,EA Sports,EA Sports,sport,16 Aug 2016,
127,Madden NFL Mobile 18,EA Sports,EA Sports,sport,15 Aug 2017,
128,Magical Drop Touch,Data East,G-Mode,puzzle,20 Oct 2009,
129,Mario Kart Tour,Nintendo EPD,Nintendo,racing,25 Sep 2019,[13]
130,Marvel: Future Fight,Netmarble Games,Netmarble Games,role-playing,30 Apr 2015,[14]
131,Marvel: Contest of Champions,Kabam,Kabam,fighting,10 Dec 2014,[15]
132,Mega Man Mobile,Capcom,Capcom,platformer,JP: 5 Jan 2017NA: 6 Jan 2017,[16]
133,Mega Man Mobile 2,Capcom,Capcom,platformer,JP: 5 Jan 2017NA: 6 Jan 2017,[17]
134,Mega Man Mobile 3,Capcom,Capcom,platformer,JP: 5 Jan 2017NA: 6 Jan 2017,[18]
135,Mega Man Mobile 4,Capcom,Capcom,platformer,JP: 5 Jan 2017NA: 6 Jan 2017,[19]
136,Mega Man Mobile 5,Capcom,Capcom,platformer,JP: 5 Jan 2017NA: 6 Jan 2017,[20]
137,Mega Man Mobile 6,Capcom,Capcom,platformer,JP: 5 Jan 2017NA: 6 Jan 2017,[21]
138,Middle-earth: Shadow of War,Monolith Productions,Warner Bros. Interactive Entertainment,action role-playing,28 Sep 2017,
139,Minecraft,"Mojang, Xbox Game Studios",Mojang,sandbox,7 Oct 2011,[22]
140,Mobile Legends: Bang Bang,Moonton,Moonton,multiplayer onlinebattle arena,16 Nov 2016,
141,Mobius Final Fantasy,Square Enix,Square Enix,role-playing,JP: 4 Jun 2015WW: 3 Aug 2016,
142,Modern Combat: Sandstorm,Gameloft,Gameloft,first-person shooter,25 Nov 2010,
143,Modern Combat 2: Black Pegasus,Gameloft,Gameloft,first-person shooter,28 Jan 2011,
144,Modern Combat 3: Fallen Nation,Gameloft,Gameloft,first-person shooter,19 Dec 2011,
145,Modern Combat 4: Zero Hour,Gameloft,Gameloft,first-person shooter,6 Dec 2012,
146,Modern Combat 5: Blackout,Gameloft,Gameloft,first-person shooter,24 Jul 2014,
147,Modern Combat: Versus,Gameloft,Gameloft,first-person shooter,28 Sep 2017,
148,Monster Hunter Explore,Capcom,Capcom,role-playing,JP: 3 Sep 2015,
149,Monster Strike,Mixi,Mixi,"role-playing, physics",11 Jul 2015,
